paragraph,origin_x,origin_y,scale,offset_dx,offset_dy,role
1,829.85,787.04,4.6164,0,0,C5.ring
2,858.98,837.85,4.6208,0,0,C5.annulus
3,910.58,907.25,5.60686,0,0,C5.x
4,-23.06,299.05,18.62212,10.59909486349843,-2.1338410565564345,C1.block_left
5,-20.74,-25.75,8.53284,0,0,C1.label_1_11
6,76.89,120.02,5.62121,0,0,C1.ring
7,105.73,154.91,6.25275,0,0,C1.interior
8,930.36,56.38,5.57433,0,0,C4.ring
9,987.9,117.32,6.90453,0,0,C4.bays
11,1706.95,78.01,5.63696,0,0,C7.ring
12,1736.96,106.27,6.15419,0,0,C7.spiral
13,1818.7,194.99,8.61257,0,0,C7.interior
14,1674.55,874.23,5.67823,0,0,C8.ring
15,1764.04,962.29,7.82984,0,0,C8.interior
16,1627.86,1656.16,5.63339,0,0,C9.ring
17,1649.32,1770.99,13.88013,0,0,C9.interior
18,1723.37,1679.77,9.27495,-11.682184736295312,7.101185558342195,x.ROM
19,1872.54,1983.47,11.58021,-4.0950513619977755,5.2988261595539825,x.ROM
20,871.29,1630.33,5.53293,-1.2923853528675409,-0.8919171791192184,C6.ring
21,899.6,1659.44,5.52772,0,0,C6.bays
23,112.56,1562.46,5.45447,0,0,C3.ring
24,46.35,1501.78,4.61158,0,0,C3.outer_band
25,138.07,1590.45,6.04524,0,0,C3.interior
26,10.67,2035.21,13.35374,0,0,C3.clock
27,93.23,862.02,5.63965,0,0,C2.ring
28,125.44,888.39,6.18796,0,0,C2.annulus
29,2196.82,88.19,16.07502,0,0,x.ROM
30,2159.01,-40.62,15.34842,0,0,C5.x
31,1761.32,624.47,7.12771,0,0,ROM.III
32,1653.74,2046.68,5.06136,0,0,ROM.VIII
33,1559.77,1520.91,12.48873,0,0,ROM.V
34,1536.61,501.68,8.75468,0,0,ROM.IV
35,542.33,519.5,11.49403,0,0,x.
36,545.76,1413.52,8.67201,0,0,C1.label_1_10
37,513.82,77.6,5.99914,0,0,ROM.I
38,1406.53,116.8,8.12124,0,0,ROM.II
39,2060.47,141.74,9.27729,0,0,x.
40,1714.79,1369.45,7.77735,0,0,ROM.VI
41,1385.15,1725.82,10.75949,0,0,ROM.VII
42,706.26,1640.29,11.11464,0,0,x.
43,312.26,1403.76,12.27492,0,0,x.
44,168.74,1342.25,6.50209,0,0,C3.diamond_road
45,1625.04,-39.41,5.59856,0,0,C7.periph
46,102.56,631.17,6.53666,0,0,C2.road_C1
